,State,County,2022_Median_AQI,2021_Median_AQI,2020_Median_AQI,2019_Median_AQI,2018_Median_AQI,2017_Median_AQI,2016_Median_AQI,2015_Median_AQI,2014_Median_AQI,2013_Median_AQI,2012_Median_AQI,2011_Median_AQI,2010_Median_AQI,2009_Median_AQI,2008_Median_AQI,2007_Median_AQI,2006_Median_AQI,2005_Median_AQI,2004_Median_AQI,2003_Median_AQI,2002_Median_AQI,2001_Median_AQI,2000_Median_AQI,1999_Median_AQI,1998_Median_AQI,1997_Median_AQI,1996_Median_AQI,1995_Median_AQI,1994_Median_AQI,1993_Median_AQI,1992_Median_AQI,1991_Median_AQI,1990_Median_AQI,1989_Median_AQI,1988_Median_AQI,1987_Median_AQI,1986_Median_AQI,1985_Median_AQI,1984_Median_AQI,1983_Median_AQI,1982_Median_AQI,1981_Median_AQI,1980_Median_AQI
280,Illinois,Saint Clair,44.0,44.0,36.0,43.0,44.0,39.0,40.0,41.0,41.0,44.0,44.0,47.0,44.0,43.0,45.0,54.0,41.0,44.0,40.0,40,44.0,45.0,43.0,39.0,35.0,37.0,35.0,39.0,39.0,37.0,39.0,38.0,38.0,40.0,44.0,41.0,39.0,40.0,42.0,41.0,38.0,29.0,27.0
281,Illinois,Sangamon,40.0,38.0,39.0,40.0,43.0,40.0,35.0,34.0,33.0,35.0,37.0,32.0,37.0,32.0,34.0,35.0,33.0,37.0,37.0,36,37.0,38.0,38.0,36.0,32.0,31.0,33.0,33.0,34.0,34.0,32.0,36.0,32.0,38.0,35.0,35.0,37.0,40.0,41.0,43.0,42.0,39.0,44.0
282,Illinois,Will,41.0,44.0,42.0,43.0,43.0,40.0,40.0,45.0,42.0,36.0,35.0,33.0,38.0,32.0,33.0,35.0,32.0,42.0,34.0,37,40.0,41.0,41.0,40.0,34.0,33.0,34.0,31.0,32.0,32.0,30.0,31.0,31.0,33.0,38.0,31.0,34.0,35.0,34.0,36.0,35.0,39.0,36.0
283,Illinois,Winnebago,39.0,43.0,39.0,42.0,35.0,35.0,34.0,35.0,34.0,31.0,33.0,32.0,36.0,33.0,34.0,36.0,32.0,35.0,32.0,34,38.0,36.0,37.0,36.0,34.0,33.0,31.0,35.0,33.0,29.0,31.0,34.0,35.0,42.0,44.0,43.0,42.0,41.0,43.0,39.0,41.0,44.0,26.0
284,Indiana,Allen,37.0,37.0,39.0,43.0,43.0,42.0,40.0,43.0,49.0,44.0,55.0,48.0,56.0,58.0,54.0,53.0,47.0,53.0,42.0,48,49.0,41.0,42.0,40.0,33.0,29.0,28.0,32.0,38.0,35.0,34.0,37.0,39.0,40.0,45.0,38.0,41.0,47.0,34.0,38.0,38.0,31.0,37.0
285,Indiana,Boone,39.0,33.0,32.0,35.0,34.0,39.0,40.0,42.0,42.0,43.0,49.0,43.0,45.0,44.0,45.0,48.0,45.0,50.0,45.0,50,54.0,48.0,47.0,,,,,,,,,,,,,,,,,,,,
286,Indiana,Carroll,36.0,34.0,31.0,35.0,32.0,39.0,39.0,43.0,41.0,43.0,47.0,40.0,45.0,40.0,42.0,45.0,45.0,48.0,44.0,46,54.0,47.0,,,,,,,,,,44.0,39.0,43.0,,,,,,,,,
287,Indiana,Clark,44.0,43.0,42.0,41.0,36.0,38.0,42.0,44.0,48.0,47.0,50.0,50.0,58.0,51.0,55.0,60.0,48.0,54.0,45.0,46,54.0,54.0,54.0,56.0,54.0,47.0,42.0,50.0,49.0,47.0,45.0,47.0,44.0,51.0,49.0,46.0,67.0,43.0,36.0,35.0,43.0,48.0,93.0
288,Indiana,Daviess,,,,,,,,,,,,,,,,,,,,16,15.0,16.0,19.0,,,,,,,30.0,,,,,,,,,,,,,
289,Indiana,Delaware,39.0,36.0,35.0,35.0,35.0,39.0,39.0,36.0,38.0,39.0,45.0,44.0,45.0,44.0,43.0,54.0,47.0,55.0,46.0,48,50.0,53.0,58.0,42.0,,,,,,,,,18.0,25.0,,,,,,,,,
290,Indiana,Dubois,32.0,33.0,33.0,33.0,31.0,32.0,33.0,35.0,43.0,45.0,43.0,49.0,53.0,51.0,51.0,54.0,53.0,58.0,53.0,55,55.0,51.0,59.0,21.0,24.0,19.0,21.0,24.0,28.0,24.0,26.0,34.0,31.0,31.0,29.0,36.0,38.0,42.0,36.0,,,,
291,Indiana,Elkhart,38.0,39.0,36.0,37.0,38.0,38.0,39.0,42.0,53.0,47.0,48.0,50.0,44.0,39.0,46.0,53.0,45.0,56.0,44.0,49,51.0,41.0,43.0,43.0,47.0,44.0,47.0,48.0,44.0,42.0,37.0,,,,,,,,,,,,
292,Indiana,Floyd,36.0,34.0,32.0,35.0,34.0,41.0,40.0,44.0,51.0,44.0,46.0,55.0,51.0,53.0,55.0,56.0,46.0,51.0,48.0,48,47.0,46.0,45.0,54.0,49.0,44.0,49.0,54.0,,,,,16.0,24.0,19.0,,,,,,,,
293,Indiana,Gibson,,,,,,,,,,,,43.0,49.0,45.0,43.0,,,,31.0,30,29.0,30.0,27.0,33.0,,,,,,,,,,,,,,,,,,,
294,Indiana,Greene,39.0,37.0,34.0,39.0,37.0,42.0,40.0,41.0,43.0,44.0,48.0,48.0,47.0,44.0,47.0,54.0,49.0,51.0,46.0,49,54.0,54.0,48.0,,,,,,,,,,,,,,,,,,,,
295,Indiana,Hamilton,40.0,39.0,38.0,41.0,40.0,40.0,41.0,37.0,40.0,39.0,48.0,44.0,44.0,44.0,47.0,54.0,47.0,49.0,46.0,50,49.0,49.0,48.0,61.0,64.0,46.0,49.0,51.0,58.0,49.0,44.0,46.0,41.0,48.0,50.0,49.0,,51.0,,,,,
296,Indiana,Hancock,,,,,,,,34.0,34.0,40.0,40.0,43.0,45.0,44.0,47.0,49.0,45.0,48.0,44.0,48,49.0,49.0,45.0,54.0,71.0,46.0,50.0,47.0,51.0,54.0,44.0,45.0,38.0,45.0,48.0,47.0,49.0,48.0,36.0,32.0,35.0,32.0,39.0
297,Indiana,Hendricks,37.0,33.0,32.0,34.0,33.0,38.0,40.0,35.0,36.0,38.0,45.0,40.0,41.0,37.0,30.0,32.0,29.0,34.0,36.0,41,50.0,48.0,60.0,62.0,64.0,,,,,,,,,,,,,,,,,,
298,Indiana,Henry,29.0,28.0,29.0,28.0,31.0,28.0,28.0,28.0,36.0,37.0,35.0,40.0,46.0,41.0,44.0,52.0,46.0,53.0,46.0,48,53.0,53.0,49.0,,,,,,,,,,,,,,,,,,,,
