,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2015,2015_Median_AQI
173,"175,857","1,050","10,069","33,499","5,443","19,536","6,508","3,531","13,603","13,836","40,518","16,005","8,851","3,408",10.20%,43.0
174,"56,842",278,"3,011","9,025","1,071","6,845","5,171",910,"4,417","3,851","10,781","6,234","3,285","1,963",9.30%,44.0
175,"52,858",497,"2,569","5,817","1,273","6,252","2,013",420,"1,854","4,667","16,007","7,775","2,189","1,525",11.10%,36.0
176,"92,706",772,"3,882","34,536","1,757","9,572","3,575",992,"3,159","5,283","15,459","6,200","5,242","2,277",26.80%,42.0
178,"165,516","1,461","9,291","18,840","5,570","17,277","5,306","3,456","18,418","23,704","37,047","13,206","7,396","4,544",7.70%,37.0
180,"85,188",329,"3,279","11,070","2,451","7,073","8,613","1,489","4,431","8,445","20,915","8,205","5,633","3,255",18.50%,35.0
184,"215,612",859,"14,660","34,692","4,575","27,724","14,025","2,305","10,503","18,909","49,449","21,469","9,575","6,867",14.90%,47.0
185,"46,640",716,"2,472","10,646",894,"6,369","2,687",430,"1,708","3,152","9,806","4,017","2,232","1,511",13.10%,40.0
186,"56,603",468,"3,084","7,093","1,401","6,699","3,528",848,"2,500","5,275","14,165","5,260","2,984","3,298",10.60%,38.0
187,"452,244","1,081","25,223","47,581","15,590","59,706","30,415","9,862","27,504","53,145","92,764","49,664","22,954","16,755",13.00%,51.0
189,"76,412",228,"4,815","13,947","1,523","8,669","4,797",687,"3,036","8,018","19,880","5,206","2,954","2,652",8.30%,41.0
190,"123,580",582,"5,278","23,380","3,462","13,942","3,615","3,273","5,761","10,661","35,210","10,000","4,947","3,469",13.30%,45.0
