County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
        Estimate,27.40%,6.50%,12.80%,8.40%,51.60%,71.20%,25.30%,22.80%,57.70%,29.50%,14.10%,12.70%,28.70%,21.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.80%,38.10%,58.10%,9.50%,15.50%,4.20%,12.60%,15.00%,4.00%,2.20%,0.90%,1.70%,12.70%,3.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.80%,28.60%,12.80%,57.90%,22.70%,10.40%,53.50%,2.10%,3.00%,9.20%,2.00%,2.40%,10.70%,4.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Montgomery County, Alabama","99,081",535,"3,959","9,332","2,467","11,904","3,929",833,"5,802","9,252","20,680","10,844","6,779","12,765",,6.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.70%,50.30%,30.60%,17.00%,7.70%,9.70%,7.90%,45.00%,48.90%,40.60%,60.80%,12.60%,28.90%,53.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.20%,0.00%,0.00%,3.30%,0.00%,5.60%,6.10%,0.00%,0.60%,23.70%,24.70%,71.80%,21.10%,17.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.00%,9.50%,6.70%,7.70%,55.00%,67.80%,33.00%,30.70%,46.80%,26.00%,12.30%,15.10%,19.80%,23.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.10%,40.20%,61.40%,1.20%,8.10%,4.70%,12.40%,24.20%,2.30%,1.40%,0.00%,0.00%,18.10%,2.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.00%,0.00%,1.30%,70.90%,29.20%,12.10%,40.50%,0.00%,1.40%,8.30%,2.20%,0.60%,12.10%,2.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Morgan County, Alabama","53,198",495,"3,745","11,347","1,692","5,495","3,281",783,"2,244","5,808","7,868","6,052","2,530","1,858",,6.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.40%,24.00%,11.20%,29.20%,7.40%,14.30%,4.30%,9.20%,25.90%,36.70%,61.60%,7.20%,17.80%,63.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.90%,0.00%,0.00%,0.50%,3.30%,0.70%,5.80%,21.80%,3.90%,18.90%,18.60%,83.20%,38.90%,18.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.40%,0.00%,1.80%,16.90%,38.20%,64.90%,20.20%,36.80%,70.20%,29.00%,15.30%,8.40%,23.10%,15.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.00%,49.30%,78.60%,4.90%,0.00%,6.00%,17.10%,32.20%,0.00%,0.00%,2.40%,0.00%,6.70%,2.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.30%,26.70%,8.40%,48.50%,51.10%,14.20%,52.60%,0.00%,0.00%,15.40%,2.10%,1.20%,13.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"St. Clair County, Alabama","35,991",385,"2,902","4,557","2,055","4,935","2,201",697,"2,000","2,932","6,655","1,684","1,929","3,059",,4.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.40%,64.40%,22.10%,19.70%,16.20%,10.90%,18.80%,31.90%,59.60%,29.80%,57.70%,18.40%,18.70%,11.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.50%,35.60%,0.00%,0.00%,0.00%,5.90%,2.90%,0.00%,0.00%,23.90%,25.30%,62.30%,14.80%,44.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.70%,0.00%,7.00%,15.60%,57.10%,70.90%,13.10%,40.90%,33.90%,31.70%,13.40%,16.30%,17.00%,11.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.00%,0.00%,59.70%,1.90%,10.00%,0.80%,5.40%,21.80%,6.50%,4.10%,2.70%,3.00%,30.20%,18.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.40%,0.00%,11.20%,62.80%,16.70%,11.50%,59.80%,5.50%,0.00%,10.50%,1.00%,0.00%,19.40%,13.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Shelby County, Alabama","97,212","1,352","7,570","6,349","3,661","14,025","3,609","3,074","10,130","12,006","18,850","7,566","4,696","4,324",,3.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,42.30%,17.30%,33.60%,48.00%,19.00%,9.50%,53.00%,57.60%,49.60%,53.10%,73.50%,20.00%,31.20%,31.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.40%,3.20%,0.00%,2.40%,0.00%,2.20%,0.00%,0.00%,2.10%,13.40%,11.00%,68.70%,33.30%,43.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,29.40%,5.50%,3.90%,8.20%,65.80%,77.90%,24.30%,40.40%,47.10%,26.70%,12.90%,8.40%,8.40%,17.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.50%,69.80%,59.80%,6.70%,0.00%,2.00%,6.50%,0.00%,0.60%,3.00%,1.30%,1.10%,19.60%,4.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,6.40%,4.20%,2.60%,34.70%,15.20%,8.30%,16.30%,2.00%,0.70%,3.70%,1.20%,1.80%,7.50%,3.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Talladega County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Tuscaloosa County, Alabama","85,616","1,946","7,675","9,310","1,941","9,871","3,066","1,688","4,077","7,110","23,788","7,716","4,465","2,963",,3.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.80%,10.50%,9.90%,17.30%,24.10%,16.60%,4.70%,36.30%,45.50%,38.00%,63.50%,20.10%,15.50%,26.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.20%,2.90%,0.00%,1.10%,0.00%,2.40%,0.00%,6.00%,2.40%,38.00%,16.40%,53.50%,30.40%,40.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.20%,7.30%,0.90%,8.30%,36.10%,64.50%,24.40%,18.70%,49.10%,15.60%,15.80%,20.60%,13.50%,28.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.90%,62.10%,76.90%,5.10%,8.20%,2.10%,13.20%,11.70%,3.00%,1.20%,1.60%,0.50%,20.80%,3.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.80%,17.10%,12.40%,68.20%,31.50%,14.30%,57.70%,27.30%,0.00%,7.20%,2.80%,5.40%,19.80%,1.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Walker County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Anchorage Municipality, Alaska","144,265","3,948","8,275","3,041","3,124","17,224","11,963","3,450","7,661","14,251","32,365","13,992","6,591","18,380",,6.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.70%,55.60%,20.60%,26.40%,5.00%,10.20%,13.90%,54.10%,41.10%,60.90%,66.30%,12.10%,21.80%,50.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.70%,0.00%,0.00%,0.00%,2.70%,5.20%,3.30%,5.00%,3.50%,17.10%,20.70%,70.50%,38.20%,19.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.60%,10.30%,14.30%,38.10%,48.80%,69.20%,25.70%,30.40%,52.20%,18.60%,11.90%,11.20%,21.00%,17.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.50%,24.10%,58.00%,4.60%,14.90%,2.10%,6.90%,10.50%,2.60%,0.80%,0.20%,1.20%,5.60%,10.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
