County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Pierce County, Washington","433,056","2,689","40,949","40,310","15,610","49,045","30,745","3,930","20,996","44,339","94,251","38,677","24,898","26,617",,12.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.60%,23.20%,18.50%,31.70%,18.90%,11.70%,12.10%,59.00%,43.50%,51.20%,61.90%,20.80%,28.90%,48.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.90%,4.60%,1.60%,1.50%,2.50%,4.70%,3.00%,6.80%,4.40%,21.90%,25.10%,69.10%,33.10%,27.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.40%,12.80%,6.60%,10.40%,38.40%,52.60%,25.40%,20.10%,44.50%,14.80%,10.40%,7.00%,14.20%,16.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.30%,56.30%,67.10%,10.20%,10.70%,6.10%,7.30%,10.90%,5.20%,3.70%,0.80%,1.40%,14.60%,3.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.80%,3.10%,6.20%,46.10%,29.40%,24.90%,52.30%,3.20%,2.40%,8.40%,1.90%,1.70%,9.20%,4.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Skagit County, Washington","56,872","3,388","5,240","8,118","1,170","7,892","2,731",384,"1,798","4,125","11,181","5,252","2,286","3,307",,10.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.80%,18.20%,19.20%,27.40%,11.00%,6.40%,27.10%,82.30%,43.80%,64.80%,72.10%,15.90%,35.00%,49.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.10%,4.80%,0.00%,0.70%,0.90%,0.80%,2.80%,0.00%,10.40%,14.40%,19.40%,75.80%,34.80%,31.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.00%,14.60%,4.00%,4.90%,62.40%,63.70%,3.80%,6.00%,35.00%,9.40%,5.70%,5.80%,5.90%,17.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.50%,58.10%,70.20%,10.20%,8.40%,1.10%,10.80%,2.60%,10.70%,4.80%,0.00%,0.20%,13.80%,0.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.60%,4.30%,6.60%,56.80%,17.30%,28.00%,55.60%,9.10%,0.00%,6.50%,2.80%,2.20%,10.50%,0.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Snohomish County, Washington","422,584","3,657","38,006","56,262","9,936","46,752","17,687","8,660","26,064","60,021","81,675","31,378","24,027","18,459",,12.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,42.10%,24.50%,26.50%,42.40%,18.10%,14.80%,14.00%,71.10%,49.00%,63.40%,65.10%,21.70%,24.60%,48.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.90%,4.40%,0.90%,1.40%,2.40%,4.90%,1.00%,0.80%,3.50%,16.60%,20.80%,59.00%,43.30%,34.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.40%,3.00%,7.30%,9.20%,53.70%,57.70%,18.40%,22.90%,39.60%,14.70%,11.90%,11.20%,8.80%,10.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.40%,52.30%,61.60%,12.20%,4.90%,5.10%,10.30%,4.50%,4.70%,1.30%,0.80%,0.90%,12.20%,2.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.20%,15.80%,3.60%,34.80%,20.80%,17.50%,56.20%,0.60%,3.30%,3.90%,1.30%,7.10%,11.10%,3.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Spokane County, Washington","238,754","2,440","17,343","15,340","8,323","25,746","13,696","2,946","16,886","24,373","67,976","23,448","10,414","9,823",,10.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,40.60%,34.80%,26.50%,28.70%,23.50%,12.00%,18.30%,59.10%,57.00%,58.30%,65.90%,14.20%,21.90%,36.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.10%,0.00%,0.40%,2.20%,0.80%,4.50%,3.10%,7.90%,3.70%,17.60%,23.70%,69.00%,39.20%,45.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.10%,2.00%,9.70%,12.70%,28.70%,62.60%,22.80%,27.40%,36.20%,18.10%,8.90%,12.30%,11.40%,11.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.50%,54.80%,59.70%,6.00%,9.30%,6.00%,9.20%,5.60%,1.90%,3.30%,0.50%,1.40%,16.90%,3.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.70%,8.40%,3.70%,50.50%,37.70%,14.90%,46.50%,0.00%,1.20%,2.70%,1.00%,3.10%,10.70%,2.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Thurston County, Washington","135,360","2,609","11,050","8,666","3,464","17,197","5,992","1,515","5,805","12,268","25,857","14,111","4,814","22,012",,10.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,40.80%,31.20%,33.90%,18.10%,17.80%,11.70%,16.20%,43.20%,55.70%,53.00%,66.10%,20.00%,27.10%,63.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.10%,8.20%,0.00%,2.30%,0.00%,8.40%,1.50%,6.00%,1.90%,16.70%,21.30%,64.90%,51.10%,14.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.00%,3.10%,4.30%,7.20%,37.60%,52.40%,18.00%,37.70%,38.90%,20.40%,8.90%,6.40%,10.80%,18.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.80%,40.10%,58.30%,16.80%,6.60%,2.90%,6.30%,4.70%,3.50%,3.70%,0.50%,1.40%,7.90%,2.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.30%,17.30%,3.60%,55.60%,38.00%,24.60%,58.10%,8.40%,0.00%,6.20%,3.20%,7.20%,3.00%,1.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Whatcom County, Washington","109,586","2,391","9,061","12,103","1,907","13,973","4,511","1,638","5,156","10,307","25,078","10,800","6,601","6,060",,13.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.90%,39.60%,20.20%,28.20%,41.40%,11.10%,10.30%,74.50%,49.50%,52.60%,67.80%,24.20%,37.00%,39.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.90%,0.00%,0.00%,0.60%,0.00%,7.30%,1.50%,3.10%,3.00%,17.30%,22.30%,59.80%,38.40%,48.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.10%,0.00%,8.50%,6.20%,25.40%,60.30%,32.90%,11.70%,47.50%,12.40%,8.70%,10.90%,3.70%,6.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.00%,35.20%,68.40%,7.20%,1.20%,8.30%,0.30%,9.10%,0.00%,2.10%,0.00%,0.00%,5.80%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.10%,25.20%,2.90%,57.80%,32.10%,13.00%,55.10%,1.60%,0.00%,15.50%,1.20%,5.10%,15.10%,5.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Yakima County, Washington","109,942","20,212","5,848","8,586","4,182","12,107","8,486","1,271","1,759","6,033","22,216","7,776","4,692","6,774",,11.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.40%,13.40%,9.60%,16.80%,14.50%,11.60%,9.20%,43.40%,20.40%,45.60%,62.40%,13.50%,15.70%,48.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.00%,0.90%,2.20%,1.80%,0.00%,10.00%,1.40%,4.90%,0.00%,30.20%,25.60%,71.60%,40.90%,27.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.10%,1.80%,5.40%,12.30%,27.80%,56.30%,9.90%,29.40%,79.60%,16.00%,9.00%,14.50%,8.40%,13.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,22.50%,74.60%,77.70%,12.30%,11.10%,4.20%,14.20%,18.70%,0.00%,3.00%,0.40%,0.00%,19.50%,6.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.00%,9.30%,5.10%,56.80%,46.60%,17.80%,65.30%,3.60%,0.00%,5.20%,2.50%,0.30%,15.60%,3.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Berkeley County, West Virginia","59,463",797,"3,750","6,859","1,445","8,034","5,931","1,149","1,850","5,632","14,018","3,821","1,766","4,411",,7.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.10%,38.60%,30.90%,16.70%,0.00%,1.50%,13.20%,49.50%,56.80%,34.60%,63.90%,4.30%,19.10%,45.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.60%,0.00%,0.00%,0.00%,0.00%,0.80%,6.50%,12.40%,4.40%,30.10%,20.70%,66.70%,38.80%,44.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.70%,0.00%,14.70%,6.10%,50.40%,55.40%,16.20%,0.00%,36.00%,15.70%,10.90%,12.70%,5.50%,8.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.60%,61.40%,48.50%,7.00%,0.60%,6.50%,5.30%,38.10%,2.80%,3.30%,0.80%,2.70%,31.50%,1.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,23.90%,0.00%,5.90%,70.10%,48.90%,35.80%,58.90%,0.00%,0.00%,16.20%,3.80%,13.60%,5.00%,1.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cabell County, West Virginia","38,381",401,"1,721","2,899",758,"5,497","1,161",834,757,"3,234","14,916","3,183","1,593","1,427",,13.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,40.40%,0.00%,63.00%,19.70%,0.00%,10.50%,29.00%,18.90%,41.00%,43.00%,65.40%,8.70%,30.80%,38.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.20%,0.00%,0.00%,0.00%,0.00%,0.90%,7.60%,0.00%,5.80%,35.40%,26.10%,80.60%,12.10%,38.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.60%,0.00%,14.20%,5.50%,87.70%,63.60%,12.10%,60.00%,53.20%,15.00%,7.10%,6.80%,13.80%,21.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.60%,100.00%,12.50%,11.40%,0.00%,8.60%,5.30%,21.10%,0.00%,0.00%,1.30%,0.00%,17.00%,1.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.30%,0.00%,10.30%,63.50%,12.30%,16.40%,46.00%,0.00%,0.00%,6.50%,0.10%,3.90%,26.40%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Harrison County, West Virginia","31,608",808,"1,254","1,519",859,"4,145","2,353",123,"1,371","2,486","7,789","4,624",882,"3,395",,7.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.00%,15.80%,11.10%,28.10%,14.00%,4.80%,14.60%,100.00%,30.10%,65.00%,63.30%,15.10%,9.90%,45.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.30%,0.00%,0.00%,0.00%,5.90%,0.00%,0.80%,0.00%,0.00%,9.10%,17.80%,66.70%,43.00%,37.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.60%,4.50%,0.00%,13.40%,19.40%,78.60%,21.40%,0.00%,69.90%,11.90%,18.10%,11.10%,10.40%,10.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.20%,63.40%,68.30%,10.30%,0.00%,0.00%,33.10%,0.00%,0.00%,11.30%,0.00%,0.00%,27.90%,2.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.80%,16.30%,20.70%,48.20%,60.70%,16.60%,30.10%,0.00%,0.00%,2.70%,0.80%,7.20%,8.80%,4.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Kanawha County, West Virginia","75,786","1,221","4,640","2,982","1,268","8,934","2,994",842,"5,130","8,179","20,259","7,989","4,711","6,637",,9.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.00%,32.90%,16.60%,6.50%,13.80%,14.40%,17.60%,37.30%,38.60%,59.80%,63.20%,7.80%,33.10%,60.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.00%,5.40%,0.00%,5.00%,0.00%,4.00%,3.30%,0.00%,1.10%,20.70%,25.70%,63.20%,29.90%,16.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.90%,0.00%,6.50%,21.00%,42.70%,59.20%,25.00%,57.70%,56.90%,13.60%,7.80%,21.80%,26.00%,23.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.80%,47.90%,70.30%,11.00%,7.40%,1.90%,0.70%,0.00%,2.60%,2.00%,0.40%,1.60%,4.90%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.30%,13.80%,6.60%,56.50%,36.10%,20.60%,53.50%,5.00%,0.90%,3.90%,2.90%,5.60%,6.10%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Monongalia County, West Virginia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Raleigh County, West Virginia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,5.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Wood County, West Virginia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Brown County, Wisconsin","141,072","1,365","7,991","27,489","4,372","17,212","7,689","1,223","9,208","12,145","29,338","11,615","6,717","4,708",,10.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.30%,41.00%,10.60%,25.80%,16.20%,16.30%,20.30%,54.80%,48.20%,55.40%,59.70%,15.40%,25.00%,41.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.20%,8.50%,0.00%,1.80%,0.00%,5.40%,1.20%,4.10%,2.20%,17.70%,28.20%,64.00%,42.30%,36.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.60%,0.00%,7.30%,8.90%,57.80%,51.10%,41.00%,35.00%,47.40%,16.20%,9.90%,12.20%,18.10%,13.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.90%,43.90%,76.10%,6.80%,4.30%,3.50%,5.00%,6.10%,0.70%,2.00%,0.30%,1.80%,8.20%,4.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,19.00%,6.60%,6.00%,56.70%,21.70%,23.70%,32.60%,0.00%,1.50%,8.70%,2.00%,6.60%,6.50%,4.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Dane County, Wisconsin","314,495","2,611","12,924","28,290","6,627","27,000","8,350","9,718","24,423","43,935","91,391","30,109","15,028","14,089",,7.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,54.80%,53.10%,24.30%,45.10%,15.80%,17.70%,32.80%,71.80%,62.60%,77.80%,74.80%,25.20%,38.70%,59.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.20%,11.50%,0.00%,3.60%,2.70%,5.10%,1.70%,2.60%,2.30%,7.90%,15.00%,63.50%,32.70%,19.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.50%,4.90%,12.90%,10.30%,44.40%,52.00%,24.20%,21.70%,33.70%,9.90%,8.10%,6.50%,14.10%,14.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,4.40%,30.10%,56.10%,3.70%,1.60%,3.70%,4.90%,0.70%,0.50%,1.20%,0.60%,0.00%,8.20%,5.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.10%,0.40%,6.60%,37.30%,35.50%,21.50%,36.40%,3.30%,1.00%,3.10%,1.50%,4.70%,6.30%,2.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Dodge County, Wisconsin","46,413","1,778","3,782","12,693",991,"5,569","2,454",373,"1,661","2,530","9,311","2,411","1,111","1,749",,7.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.90%,44.90%,22.30%,20.60%,19.50%,7.10%,9.50%,45.00%,46.80%,37.20%,55.80%,19.30%,12.00%,37.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.70%,2.50%,0.00%,0.90%,4.20%,6.50%,4.00%,9.40%,4.00%,18.70%,35.70%,46.80%,35.20%,43.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.20%,5.70%,6.30%,8.00%,37.30%,58.00%,10.00%,45.60%,41.20%,24.70%,7.30%,33.90%,6.50%,11.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.30%,46.90%,64.30%,5.90%,5.80%,3.80%,10.60%,0.00%,5.10%,5.20%,0.30%,0.00%,32.60%,5.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,26.90%,0.00%,7.20%,64.60%,33.20%,24.60%,65.90%,0.00%,2.80%,14.20%,0.80%,0.00%,13.80%,3.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Eau Claire County, Wisconsin","56,214","1,231","2,132","6,393","1,282","8,193","3,667",992,"4,379","3,840","15,038","5,901","1,789","1,377",,9.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.90%,32.00%,19.50%,29.80%,0.00%,12.70%,6.50%,100.00%,57.20%,59.20%,59.80%,22.90%,27.50%,52.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.90%,2.40%,0.00%,0.00%,0.00%,3.90%,0.40%,0.00%,0.50%,17.50%,28.90%,69.20%,39.40%,31.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.20%,1.80%,7.60%,6.20%,49.80%,52.40%,31.10%,0.00%,38.60%,16.40%,8.10%,4.90%,8.00%,13.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.70%,46.90%,58.50%,6.20%,0.00%,10.70%,4.70%,0.00%,2.80%,1.40%,0.30%,0.10%,13.60%,3.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.20%,17.00%,14.40%,57.80%,50.20%,20.30%,57.30%,0.00%,0.80%,5.60%,2.90%,2.90%,11.60%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Fond du Lac County, Wisconsin","56,314","1,422","4,335","12,587","1,298","6,837","3,722",873,"3,177","2,196","12,146","3,124","2,686","1,911",,8.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.80%,42.30%,16.70%,21.70%,19.00%,7.60%,3.70%,4.80%,33.80%,40.90%,68.00%,11.60%,10.60%,17.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.20%,9.40%,0.40%,0.30%,2.20%,5.20%,0.90%,0.00%,15.20%,23.90%,16.10%,75.60%,34.70%,59.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.50%,4.60%,7.00%,9.30%,37.10%,62.00%,12.00%,79.60%,44.60%,20.10%,12.80%,10.00%,10.40%,8.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.80%,41.90%,67.40%,8.20%,13.50%,9.40%,8.00%,15.60%,6.10%,3.30%,2.00%,0.40%,24.70%,11.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,23.60%,1.80%,8.60%,60.50%,28.20%,15.80%,75.40%,0.00%,0.30%,11.70%,1.20%,2.50%,19.50%,2.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Jefferson County, Wisconsin","44,973","1,197","3,480","9,052",971,"5,425","2,277",293,"2,278","2,593","11,455","2,582","2,036","1,334",,14.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.20%,28.10%,8.50%,21.60%,27.70%,5.10%,22.00%,33.40%,46.40%,44.40%,56.60%,10.90%,19.10%,35.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,11.40%,0.00%,1.50%,0.00%,11.60%,3.30%,0.00%,1.40%,27.40%,26.10%,61.60%,39.30%,49.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.60%,4.30%,5.70%,9.80%,28.80%,57.80%,14.00%,28.70%,38.90%,16.80%,7.70%,8.40%,17.00%,13.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.00%,53.90%,81.60%,3.10%,20.40%,2.10%,4.90%,37.90%,10.90%,4.70%,0.80%,7.40%,21.50%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,23.00%,2.30%,4.20%,64.10%,23.10%,23.40%,55.90%,0.00%,2.40%,6.70%,8.70%,11.70%,3.10%,1.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Kenosha County, Wisconsin","84,978","1,071","3,944","17,040","2,660","10,891","4,066","1,326","4,479","7,224","18,057","7,128","3,130","3,962",,10.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.10%,25.30%,8.00%,30.20%,22.40%,17.40%,13.00%,69.30%,39.60%,49.20%,64.40%,20.90%,25.20%,24.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.60%,0.00%,0.00%,1.70%,0.00%,3.90%,0.00%,12.70%,5.00%,26.40%,16.70%,60.70%,33.80%,45.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.20%,7.80%,3.70%,17.00%,40.70%,52.70%,16.70%,13.60%,46.90%,16.60%,16.60%,12.50%,21.60%,26.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.10%,66.90%,82.10%,6.00%,6.20%,1.50%,8.60%,0.00%,7.40%,3.00%,1.20%,0.50%,12.10%,2.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.00%,0.00%,6.20%,45.10%,30.80%,24.60%,61.70%,4.40%,1.10%,4.90%,1.10%,5.40%,7.30%,1.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"La Crosse County, Wisconsin","62,048",373,"2,415","8,345","1,853","8,063","2,623",455,"3,393","3,744","18,808","7,167","2,744","2,065",,9.50%
    Total,,,,,,,,,,,,,,,,
