County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Anchorage Municipality, Alaska","150,525","5,444","9,011","2,877","4,106","17,301","10,823","3,997","6,580","17,448","35,103","16,497","7,318","14,020",,10.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.30%,55.10%,25.50%,30.00%,23.80%,12.40%,23.00%,42.70%,53.30%,59.00%,65.40%,17.80%,23.00%,52.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.70%,9.30%,1.60%,0.90%,0.00%,6.40%,4.00%,4.80%,4.70%,16.80%,20.50%,58.60%,30.90%,13.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.90%,7.80%,11.90%,5.90%,36.50%,73.80%,21.70%,39.10%,41.60%,12.80%,12.90%,17.80%,7.90%,22.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.20%,21.60%,55.00%,24.00%,20.50%,1.20%,9.70%,13.50%,0.50%,7.00%,0.10%,2.10%,12.90%,2.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.80%,6.10%,5.90%,39.20%,19.20%,6.20%,41.60%,0.00%,0.00%,4.30%,1.20%,3.70%,25.30%,8.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Fairbanks North Star Borough, Alaska","48,100","1,616","4,383",537,652,"6,798","3,079",530,"1,333","3,199","11,916","4,009","2,770","7,278",,10.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.90%,35.60%,14.20%,15.50%,11.30%,8.90%,22.20%,60.80%,13.70%,43.70%,58.30%,12.30%,16.70%,40.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.00%,1.50%,1.80%,0.00%,0.00%,6.20%,6.50%,0.00%,3.10%,13.80%,22.70%,68.60%,35.20%,13.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.40%,0.00%,11.50%,22.70%,39.10%,72.40%,13.40%,21.50%,71.50%,25.40%,13.00%,7.80%,16.60%,25.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.30%,29.10%,50.50%,0.00%,33.30%,4.50%,13.30%,17.70%,0.00%,12.40%,2.60%,0.00%,24.20%,11.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.40%,33.70%,22.00%,61.80%,16.30%,8.00%,44.60%,0.00%,11.70%,4.70%,3.50%,11.30%,7.40%,9.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Matanuska-Susitna Borough, Alaska","43,000","2,074","5,313","1,182",689,"5,178","2,831","1,164","1,316","3,585","8,474","4,215","2,370","4,609",,12.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.90%,17.60%,13.90%,19.80%,12.30%,10.40%,11.00%,32.40%,19.30%,45.60%,59.40%,24.70%,24.10%,36.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,8.10%,0.70%,5.60%,0.00%,3.60%,5.00%,0.00%,5.50%,14.90%,22.80%,59.30%,26.00%,25.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.40%,3.60%,4.80%,22.50%,50.90%,71.60%,14.90%,34.40%,57.80%,22.90%,13.30%,6.90%,23.90%,22.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,19.90%,50.40%,76.40%,7.40%,4.60%,3.40%,36.90%,25.80%,11.20%,11.00%,1.50%,3.20%,21.40%,10.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.50%,20.40%,4.30%,44.70%,32.10%,11.00%,32.20%,7.50%,6.20%,5.70%,3.10%,5.80%,4.60%,4.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Apache County, Arizona",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cochise County, Arizona",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Coconino County, Arizona","65,735",735,"2,474","4,777",293,"7,354","3,564",612,"3,103","4,114","19,324","12,210","2,245","4,930",,12.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.30%,42.90%,8.60%,44.80%,10.20%,14.00%,14.10%,13.10%,58.50%,60.10%,59.70%,16.90%,28.10%,34.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,24.40%,10.20%,2.40%,4.90%,0.00%,5.60%,8.20%,6.20%,0.00%,18.10%,20.00%,62.10%,35.10%,39.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.40%,7.20%,6.80%,4.60%,89.80%,65.80%,7.10%,80.70%,40.50%,14.60%,15.90%,14.60%,12.80%,15.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.80%,37.60%,68.10%,10.40%,0.00%,3.30%,10.40%,0.00%,0.00%,2.40%,1.70%,2.70%,11.20%,8.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.00%,2.20%,14.00%,35.30%,0.00%,11.40%,60.30%,0.00%,1.00%,4.80%,2.70%,3.70%,12.90%,1.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Maricopa County, Arizona","1,934,880","14,024","126,246","147,423","50,942","241,809","102,798","40,300","192,496","252,808","399,520","203,880","90,730","71,904",,14.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.90%,21.50%,17.00%,39.10%,17.80%,12.10%,14.40%,48.70%,46.50%,45.70%,63.10%,17.30%,19.40%,40.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.40%,4.30%,0.90%,1.10%,1.10%,4.00%,2.80%,4.10%,2.70%,23.60%,20.90%,64.80%,39.20%,30.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.10%,10.80%,7.90%,14.40%,58.00%,66.70%,24.70%,36.00%,48.30%,22.50%,13.70%,14.00%,12.80%,23.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.50%,53.90%,69.40%,5.00%,5.70%,5.00%,8.10%,9.50%,1.20%,3.50%,0.80%,0.80%,18.00%,3.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.10%,9.60%,4.80%,40.40%,17.40%,12.20%,50.00%,1.70%,1.20%,4.70%,1.60%,3.20%,10.60%,2.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Mohave County, Arizona","71,494",494,"4,189","3,803","1,584","11,315","5,105","1,102","3,477","5,739","13,593","12,232","4,615","4,246",,12.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,22.30%,46.40%,8.80%,11.60%,17.20%,9.10%,6.50%,41.40%,14.70%,42.60%,46.40%,11.30%,14.80%,35.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,23.90%,12.30%,0.00%,0.00%,0.00%,8.80%,2.80%,0.00%,2.00%,21.40%,30.00%,64.70%,27.40%,30.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.80%,0.00%,6.40%,20.60%,27.40%,65.00%,32.60%,40.40%,66.00%,13.70%,17.50%,14.40%,10.40%,28.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.00%,41.30%,80.60%,2.00%,7.00%,0.40%,9.80%,4.90%,3.70%,7.00%,0.50%,4.80%,34.80%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.00%,0.00%,4.20%,65.90%,48.40%,16.70%,48.30%,13.30%,13.60%,15.30%,5.50%,4.80%,12.60%,5.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Navajo County, Arizona","32,075","1,104","2,897","1,248",261,"4,709","2,613",801,"1,301","1,239","7,890","3,706","1,166","3,140",,13.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.90%,11.30%,16.40%,7.10%,0.00%,14.50%,23.00%,26.00%,46.20%,30.80%,51.80%,16.80%,35.00%,21.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.50%,10.80%,0.00%,0.00%,0.00%,6.00%,0.80%,16.00%,5.00%,38.40%,28.30%,71.00%,20.80%,32.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.40%,2.00%,8.80%,16.30%,55.60%,59.40%,7.70%,27.60%,34.70%,16.50%,15.90%,7.80%,9.90%,32.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.50%,64.00%,65.80%,15.00%,44.40%,4.60%,7.00%,30.50%,11.60%,1.40%,0.70%,1.30%,13.10%,11.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.60%,11.90%,8.90%,61.70%,0.00%,15.50%,61.60%,0.00%,2.50%,12.90%,3.30%,3.10%,21.30%,1.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Pima County, Arizona","429,496","5,429","29,907","25,295","7,623","52,872","15,897","6,372","22,700","55,722","105,016","51,495","22,662","28,506",,10.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.90%,27.90%,18.00%,48.30%,11.70%,12.20%,8.80%,45.00%,41.40%,42.40%,64.60%,14.90%,18.60%,37.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.50%,1.30%,1.10%,2.00%,3.50%,4.70%,2.90%,3.50%,8.50%,22.30%,20.20%,65.70%,40.60%,32.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.20%,4.10%,10.40%,11.60%,55.30%,67.60%,22.50%,36.60%,45.20%,27.60%,12.60%,14.50%,16.40%,20.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.80%,51.20%,67.40%,3.70%,6.60%,3.60%,9.00%,11.00%,4.30%,3.10%,0.50%,1.60%,13.50%,7.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.70%,15.50%,3.10%,34.40%,22.80%,11.90%,56.90%,4.00%,0.60%,4.50%,2.10%,3.20%,11.00%,1.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Pinal County, Arizona","135,816","3,873","8,276","13,297","2,925","17,269","4,758","2,064","9,804","13,236","29,677","14,646","5,301","10,690",,19.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.10%,24.50%,14.90%,21.60%,18.50%,7.70%,6.10%,16.50%,45.90%,40.70%,56.50%,7.80%,24.70%,26.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,23.70%,7.10%,0.90%,2.80%,0.00%,9.70%,0.00%,19.00%,1.50%,24.70%,26.00%,76.10%,39.00%,47.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.60%,7.60%,9.10%,11.70%,58.30%,69.10%,22.90%,51.90%,52.40%,13.90%,15.00%,15.10%,8.10%,21.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.40%,46.00%,69.70%,3.50%,2.30%,4.60%,9.70%,12.60%,0.20%,10.00%,0.50%,0.00%,24.50%,4.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.10%,14.80%,5.40%,60.30%,20.90%,8.90%,61.30%,0.00%,0.00%,10.80%,2.00%,1.00%,3.60%,0.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Yavapai County, Arizona","84,647","1,942","6,224","4,546","1,476","11,734","4,468","1,343","3,194","9,102","19,818","12,404","4,260","4,136",,21.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.10%,47.60%,10.60%,24.30%,12.50%,7.40%,18.40%,51.20%,22.50%,49.50%,63.10%,17.00%,8.00%,41.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.70%,5.90%,0.00%,1.60%,0.00%,8.60%,0.00%,0.00%,4.10%,28.30%,21.00%,65.80%,46.70%,23.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.90%,0.00%,9.90%,5.20%,82.90%,60.80%,30.50%,21.80%,62.80%,10.60%,13.10%,12.30%,21.90%,31.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.40%,14.60%,74.90%,7.30%,4.60%,8.40%,14.30%,20.40%,0.00%,2.50%,0.40%,3.50%,17.20%,2.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.90%,31.90%,4.50%,61.50%,0.00%,14.70%,36.90%,6.60%,10.60%,9.10%,2.30%,1.40%,6.30%,0.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Yuma County, Arizona","72,053","8,263","5,011","2,781","1,395","7,668","2,479",703,"3,063","6,403","13,826","8,882","3,806","7,773",,11.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.80%,8.50%,12.70%,21.50%,8.40%,9.80%,7.30%,26.70%,47.10%,20.80%,64.70%,20.00%,16.60%,34.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.80%,8.70%,0.00%,0.00%,8.30%,2.70%,6.60%,10.10%,1.30%,26.10%,20.30%,69.80%,23.00%,36.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.60%,0.00%,7.10%,8.60%,28.20%,72.40%,7.50%,37.10%,44.10%,31.70%,10.20%,8.70%,6.10%,17.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,18.70%,71.70%,74.20%,5.40%,5.60%,5.20%,19.40%,26.00%,7.50%,10.80%,2.70%,0.30%,19.70%,5.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.10%,11.20%,6.00%,64.40%,49.50%,9.90%,59.20%,0.00%,0.00%,10.60%,2.10%,1.10%,34.50%,5.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Benton County, Arkansas","118,078","1,912","8,340","17,641","3,022","28,539","6,834","1,013","6,076","11,161","20,311","6,665","4,757","1,807",,9.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.70%,49.80%,9.40%,25.40%,20.10%,32.40%,13.60%,36.90%,45.10%,53.70%,64.70%,23.40%,18.80%,26.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,11.80%,0.00%,0.00%,1.00%,3.20%,3.70%,1.20%,0.00%,1.60%,17.30%,18.70%,56.80%,41.30%,49.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.90%,0.00%,3.80%,10.70%,65.70%,52.60%,36.40%,45.60%,47.50%,19.90%,12.10%,14.90%,14.30%,23.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.30%,46.20%,85.30%,6.00%,0.00%,2.20%,12.60%,10.80%,4.70%,3.20%,0.70%,2.60%,10.60%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.30%,4.00%,1.40%,56.80%,11.10%,9.00%,36.30%,6.70%,1.10%,6.00%,3.90%,2.20%,14.90%,1.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Craighead County, Arkansas","48,402","1,005","3,390","6,954","1,917","6,006","1,787","1,073","1,960","3,065","14,544","4,200","1,582",919,,6.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.40%,9.70%,5.80%,11.00%,27.30%,12.20%,18.10%,32.90%,27.40%,59.90%,62.30%,23.70%,13.30%,60.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.10%,2.00%,0.00%,4.70%,0.00%,0.70%,4.40%,0.00%,8.30%,3.10%,25.90%,62.30%,28.90%,22.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.90%,1.40%,5.90%,13.80%,50.80%,72.00%,17.00%,46.70%,58.80%,30.00%,8.90%,14.00%,11.90%,17.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.00%,76.60%,75.50%,14.80%,11.20%,2.20%,0.00%,0.00%,5.50%,0.80%,0.50%,0.00%,27.40%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.60%,10.30%,12.80%,55.70%,10.70%,12.90%,60.50%,20.40%,0.00%,6.20%,2.40%,0.00%,18.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Faulkner County, Arkansas","55,773","1,316","3,688","5,258","1,606","8,167","3,159","1,228","2,919","4,819","15,098","4,748","2,379","1,388",,13.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.70%,28.20%,14.50%,19.70%,3.70%,8.40%,19.20%,81.40%,26.60%,65.70%,68.00%,7.00%,23.20%,38.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.60%,0.00%,1.50%,3.70%,0.00%,0.90%,5.50%,0.00%,0.00%,11.60%,17.00%,75.30%,29.20%,18.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.60%,5.50%,0.90%,14.10%,52.20%,75.70%,20.40%,15.50%,66.70%,15.10%,12.40%,17.70%,7.90%,39.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.30%,57.90%,81.50%,3.80%,17.60%,8.10%,16.80%,3.10%,6.70%,1.80%,0.40%,0.00%,20.80%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.80%,8.40%,1.70%,58.60%,26.40%,7.00%,38.10%,0.00%,0.00%,5.80%,2.20%,0.00%,18.90%,3.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Garland County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Jefferson County, Arkansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lonoke County, Arkansas","31,212",576,"1,629","3,505",979,"3,809","1,922",938,"2,010","1,970","6,968","2,214","1,414","3,278",,8.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.30%,68.90%,25.20%,11.00%,7.20%,22.40%,7.50%,45.70%,45.70%,45.70%,71.90%,9.80%,16.20%,32.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.40%,0.00%,0.00%,0.40%,3.50%,2.00%,0.00%,0.00%,9.90%,8.30%,17.00%,78.30%,44.60%,13.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.40%,1.00%,7.00%,15.80%,61.30%,52.10%,39.40%,43.90%,44.40%,34.80%,8.90%,9.30%,2.80%,32.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.70%,30.00%,67.80%,5.50%,23.00%,12.70%,14.20%,10.30%,0.00%,5.10%,0.90%,2.60%,30.70%,4.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.10%,0.00%,0.00%,67.30%,5.10%,10.80%,38.90%,0.00%,0.00%,6.10%,1.40%,0.00%,5.70%,16.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Pulaski County, Arkansas","180,595","1,100","8,492","14,756","4,316","23,542","8,765","5,282","12,270","15,802","47,454","15,579","9,394","13,843",,7.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.20%,20.70%,13.50%,24.00%,12.70%,17.30%,17.90%,69.50%,51.10%,51.30%,66.50%,21.40%,31.10%,53.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.20%,22.40%,2.30%,2.30%,0.00%,2.50%,1.30%,1.60%,2.70%,14.20%,18.40%,61.30%,30.70%,15.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.20%,6.80%,9.70%,9.90%,51.20%,67.60%,31.60%,25.90%,42.30%,20.10%,11.30%,13.40%,17.90%,25.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.50%,50.10%,69.30%,4.30%,8.40%,2.00%,7.10%,3.00%,3.10%,5.00%,0.60%,0.90%,11.20%,2.30%,,(X)
