County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
        Estimate,26.80%,45.00%,17.70%,16.40%,38.00%,4.50%,7.70%,28.20%,24.50%,26.00%,66.50%,26.30%,12.60%,30.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.80%,1.20%,0.00%,1.60%,0.00%,1.50%,0.30%,0.00%,3.60%,25.40%,22.10%,55.80%,28.00%,38.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.00%,5.30%,2.50%,10.40%,39.70%,80.10%,23.00%,43.20%,68.00%,27.70%,10.70%,16.30%,22.90%,30.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.50%,27.40%,74.30%,7.50%,15.90%,1.50%,10.60%,28.60%,1.60%,6.20%,0.00%,0.80%,13.80%,0.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.80%,21.10%,5.50%,64.10%,6.40%,12.40%,58.40%,0.00%,2.30%,14.80%,0.80%,0.80%,22.70%,0.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Mobile County, Alabama","174,686","1,742","12,218","23,280","4,629","20,173","9,005","2,903","7,960","16,437","47,349","13,756","10,348","4,886",,8.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.30%,17.50%,18.10%,20.60%,29.30%,9.30%,13.00%,54.30%,42.80%,39.90%,65.30%,16.70%,18.00%,34.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.10%,3.20%,0.80%,1.40%,4.70%,3.90%,0.80%,2.20%,2.40%,23.80%,19.90%,64.20%,39.20%,37.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.20%,0.90%,10.20%,8.30%,47.50%,65.70%,20.50%,37.60%,49.70%,25.80%,10.90%,11.80%,11.70%,22.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.70%,51.50%,61.40%,11.40%,1.70%,5.90%,18.30%,4.50%,3.90%,4.60%,1.40%,1.30%,23.30%,4.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.60%,26.90%,9.50%,58.40%,16.80%,15.10%,47.40%,1.40%,1.20%,5.80%,2.50%,5.90%,7.80%,1.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Montgomery County, Alabama","99,715",466,"4,309","11,244","1,990","12,231","2,926","1,555","6,263","10,913","21,202","11,011","4,695","10,910",,9.90%
    Total,,,,,,,,,,,,,,,,
